# Source: SrV 2023 Braunschweig + Regionalverband Grossraum Braunschweig
#   (RGB) scientific-use microdata, file SciUse_v4 (delivered 2026-07).
#   See eqasim-data/data/braunschweig/srv/srv2023_raw/README.md.
# One row per municipality (AGS) sampled by the household survey.
# Universe: households with a valid GEWICHT_HH_ZENSUS weight.
# n_households_unweighted is a raw sample count (not weight-expanded).
# ASSUMPTION: this is the full list of ~44 municipalities forming the
#   stratified PSU sample; it defines the coverage that all other
#   srv2023_*_by_kreis.csv tables' per-Kreis rows implicitly average over.
# Generated by: scripts/extract_srv_kreis_tables.py
kreis_code,ags,municipality_name,n_households_unweighted
03101,03101000,"Braunschweig, Stadt",2079
03102,03102000,"Salzgitter, Stadt",791
03151,03151002,Barwedel,33
03151,03151005,"Brome, Flecken",93
03151,03151006,Calberlah,48
03151,03151009,"Gifhorn, Stadt",330
03151,03151011,Hankensbüttel,9
03151,03151012,Hillerse,24
03151,03151013,Isenbüttel,53
03151,03151014,Jembke,61
03151,03151015,Leiferde,18
03151,03151018,Müden (Aller),164
03151,03151019,Obernholz,29
03151,03151021,Parsau,43
03151,03151022,Ribbesbüttel,28
03151,03151023,Rötgesbüttel,2
03151,03151026,Schönewörde,23
03151,03151027,Schwülper,235
03151,03151030,Tappenbeck,48
03151,03151037,Wasbüttel,20
03151,03151040,"Wittingen, Stadt",252
03151,03151041,Didderse,8
03153,03153002,"Bad Harzburg, Stadt",179
03153,03153017,"Goslar, Stadt",437
03153,03153018,"Clausthal-Zellerfeld, Berg- und Universitätsstadt",137
03153,03153019,"Langelsheim, Stadt",321
03154,03154009,Groß Twülpstedt,89
03154,03154014,Lehre,419
03154,03154019,"Schöningen, Stadt",88
03154,03154024,Velpke,21
03154,03154028,"Helmstedt, Stadt",183
03157,03157005,Lengede,91
03157,03157006,"Peine, Stadt",383
03157,03157007,Vechelde,365
03157,03157009,Ilsede,163
03158,03158008,Denkte,104
03158,03158009,Dettum,24
03158,03158012,Erkerode,31
03158,03158013,Evessen,36
03158,03158023,Ohrum,22
03158,03158027,"Schöppenstedt, Stadt",124
03158,03158032,Vahlberg,34
03158,03158037,"Wolfenbüttel, Stadt",406
03158,03158038,Börßum,58
