# Source: SrV 2023 Braunschweig + Regionalverband Grossraum Braunschweig
#   (RGB) scientific-use microdata, file SciUse_v4 (delivered 2026-07).
#   See eqasim-data/data/braunschweig/srv/srv2023_raw/README.md.
# Universe: persons with a valid GEWICHT_P weight and E_OEV_FK != -10 (Unplausibel); E_OEV_FK == -8 'nicht erhoben' (no PT use in the past 12 months) is KEPT and counted as 'no Deutschlandticket', not excluded
# Weight used: GEWICHT_P
# Missing-code handling: only E_OEV_FK == -10 (Unplausibel) excluded
# Coverage: 7 of the 8 ZGB Kreise; Wolfsburg (03103) is NOT covered by
#   this survey and therefore never appears in this table.
# ASSUMPTION: the survey is a stratified PSU design over ~44 selected
#   municipalities within those Kreise (strata = ST_CODE/ST_CODE_NAME; see
#   srv2023_covered_municipalities.csv). Per-Kreis (level=kreis) rows
#   aggregate across strata and are therefore an ASSUMPTION-grade estimate
#   of the true Kreis population. Per-stratum (level=stratum) rows are the
#   design-safe aggregation level for this survey.
# Generated by: scripts/extract_srv_kreis_tables.py
level,code,name,n_unweighted,n_weighted,share_deutschlandticket
total,total,Gesamt,18223,18223.0,0.0554
kreis,03101,Braunschweig,4519,4519.0,0.0878
kreis,03102,Salzgitter,1794,1794.0,0.0321
kreis,03151,Gifhorn,3574,3489.43,0.033
kreis,03153,Goslar,2258,2318.55,0.0406
kreis,03154,Helmstedt,1761,1870.91,0.0414
kreis,03157,Peine,2446,2489.64,0.0718
kreis,03158,Wolfenbuettel,1871,1741.46,0.0518
stratum,98,"Kleinstädtischer, dörflicher Raum RGB ohne Schienenanbindung",3377,3377.0,0.0344
stratum,99,Mittelstadt RGB,2647,2647.0,0.0562
stratum,100,Regiopole Salzgitter,1794,1794.0,0.0321
stratum,101,Städtischer Raum RGB mit Schienenanbindung,1313,1313.0,0.0608
stratum,102,Städtischer Raum RGB ohne Schienenanbindung,987,987.0,0.0571
stratum,103,Zentrale Stadt Goslar,907,907.0,0.035
stratum,173,Braunschweig,4519,4519.0,0.0878
stratum,197,"Kleinstädtischer, dörflicher Raum RGB mit Schienenanbindung",2679,2679.0,0.0457
