# Source: SrV 2023 Braunschweig + Regionalverband Grossraum Braunschweig
#   (RGB) scientific-use microdata, file SciUse_v4 (delivered 2026-07).
#   See eqasim-data/data/braunschweig/srv/srv2023_raw/README.md.
# Universe: households with a valid GEWICHT_HH_ZENSUS weight and a valid V_ANZ_ERAD response
# Weight used: GEWICHT_HH_ZENSUS
# Missing-code handling: V_ANZ_ERAD == -10 (Unplausibel) excluded
# Coverage: 7 of the 8 ZGB Kreise; Wolfsburg (03103) is NOT covered by
#   this survey and therefore never appears in this table.
# ASSUMPTION (coverage, not weighting): the survey is a stratified PSU
#   design over ~44 selected municipalities within those Kreise (strata =
#   ST_CODE/ST_CODE_NAME; see srv2023_covered_municipalities.csv). The
#   GEWICHT_*_ZENSUS weight expands per municipality to the true Zensus
#   2022 population, so it is the correct weight for total/kreis/stratum
#   rows alike. Per-Kreis (level=kreis) rows still extrapolate from the
#   sampled municipalities to the full Kreis and are therefore an
#   ASSUMPTION-grade coverage estimate; per-stratum (level=stratum) rows
#   are the design-safe aggregation level for this survey.
# Generated by: scripts/extract_srv_kreis_tables.py
level,code,name,n_unweighted,n_weighted,share_hh_with_ebike
total,total,Gesamt,8094,402665.18,0.245
kreis,03101,Braunschweig,2071,145485.24,0.1806
kreis,03102,Salzgitter,790,51003.69,0.2435
kreis,03151,Gifhorn,1521,51110.75,0.3108
kreis,03153,Goslar,1071,47579.79,0.2818
kreis,03154,Helmstedt,800,27018.61,0.3012
kreis,03157,Peine,1002,46958.34,0.2816
kreis,03158,Wolfenbuettel,839,33508.77,0.2777
stratum,98,"Kleinstädtischer, dörflicher Raum RGB ohne Schienenanbindung",1503,27039.25,0.3665
stratum,99,Mittelstadt RGB,1119,71077.9,0.2557
stratum,100,Regiopole Salzgitter,790,51003.69,0.2435
stratum,101,Städtischer Raum RGB mit Schienenanbindung,554,33305.5,0.2752
stratum,102,Städtischer Raum RGB ohne Schienenanbindung,435,23518.95,0.3275
stratum,103,Zentrale Stadt Goslar,435,22573.07,0.2725
stratum,173,Braunschweig,2071,145485.24,0.1806
stratum,197,"Kleinstädtischer, dörflicher Raum RGB mit Schienenanbindung",1187,28661.58,0.3089
