# Source: SrV 2023 Braunschweig+RGB scientific-use microdata (local-only,
#   see srv2023_raw/README.md), status construct rebuilt per the MiD 2023
#   handbook rule via the committed matrix mid2023_economic_status_matrix.csv.
#   Generated by scripts/extract_srv_economic_status_kreis.py.
# Universe: households with valid GEWICHT_HH (>= 0) AND a substantive income
#   answer (V_EINK 1..11) AND at least one member aged 14+ recorded.
# Weight: GEWICHT_HH. Shares are fractions and sum to 1 per row.
# share_income_missing: weighted share of households (per group) whose
#   V_EINK is -10/-9/-5; these are EXCLUDED from the status shares (MiD
#   imputes income pre-status, the SrV SciUse file does not) -> the status
#   level carries an observed-responders selectivity caveat.
# ASSUMPTION: V_EINK 8/9/10 split 0.4/0.6 over the two spanned matrix
#   columns (bracket width); class 11 split 0.5/0.5. Weighted size > 4.5
#   uses the 4.5 matrix row.
# ASSUMPTION (PSU design): per-Kreis rows aggregate a stratified selected-
#   municipality sample; per-stratum (ST_CODE) rows are the design-safe level.
level,code,name,n_unweighted,n_weighted,very_low,low,medium,high,very_high,share_income_missing
total,total,Gesamt,7044,9150.93,0.1333,0.1521,0.2933,0.2916,0.1297,0.1253
kreis,03101,Braunschweig,1862,2618.08,0.1339,0.1324,0.2909,0.296,0.1468,0.1014
kreis,03102,Salzgitter,667,878.63,0.1601,0.1803,0.3419,0.2432,0.0745,0.155
kreis,03151,Gifhorn,1320,1635.36,0.111,0.1329,0.2825,0.3138,0.1598,0.13
kreis,03153,Goslar,933,1144.9,0.1837,0.2043,0.2783,0.2512,0.0825,0.1202
kreis,03154,Helmstedt,672,886.92,0.1231,0.1369,0.2902,0.3027,0.1472,0.1462
kreis,03157,Peine,854,1133.65,0.1169,0.1495,0.3118,0.308,0.1138,0.1361
kreis,03158,Wolfenbuettel,736,853.38,0.1109,0.1718,0.272,0.3049,0.1404,0.1302
stratum,100,Regiopole Salzgitter,667,878.63,0.1601,0.1803,0.3419,0.2432,0.0745,0.155
stratum,101,Städtischer Raum RGB mit Schienenanbindung,484,622.52,0.116,0.1804,0.3119,0.2809,0.1107,0.1195
stratum,102,Städtischer Raum RGB ohne Schienenanbindung,366,464.44,0.1591,0.1594,0.2724,0.3322,0.077,0.155
stratum,103,Zentrale Stadt Goslar,370,433.68,0.2096,0.2043,0.2677,0.2332,0.0852,0.1409
stratum,173,Braunschweig,1862,2618.08,0.1339,0.1324,0.2909,0.296,0.1468,0.1014
stratum,197,"Kleinstädtischer, dörflicher Raum RGB mit Schienenanbindung",1053,1257.54,0.1362,0.1698,0.2983,0.276,0.1197,0.1102
stratum,98,"Kleinstädtischer, dörflicher Raum RGB ohne Schienenanbindung",1285,1569.93,0.0802,0.1331,0.2872,0.3213,0.1782,0.1395
stratum,99,Mittelstadt RGB,957,1306.11,0.1493,0.1466,0.2753,0.3043,0.1245,0.1381
