# Source: SrV 2023 Braunschweig + Regionalverband Grossraum Braunschweig scientific-use
#   microdata (local-only, see srv2023_raw/README.md; files SrV2023_Personen.csv,
#   SrV2023_Wege.csv, SrV2023_Haushalte.csv), generated by
#   scripts/extract_srv_participation_universe.py on 2026-09-11.
# Code state: eqasim-bs e4185c75, module braunschweig/calibration/srv_participation_universe.py.
# Table: srv2023_education_by_age_by_kreis.csv
# Role: CONTROL-TARGET SOURCE for the participation-universe redesign (issue #368). A
#   target builder combines these conditional rates into the committed
#   target2026_* control tables; this file itself is not read by a synthesis stage.
# Universe (at_home_or_mobile): persons with a valid non-negative GEWICHT_P_ZENSUS and
#   E_ANZ_WEGE != -7, i.e. the persons who were at home at some point on the reporting
#   day, whose household resolves to one of the 8 ZGB Kreise. Persons away from home
#   over the WHOLE reporting day are excluded because a synthetic population cannot
#   represent that state -- every synthetic person exists and starts the day at home,
#   so a target taken from the all-persons universe would be diluted by a state the
#   population cannot reproduce (user decision 2026-09-05). See the Exclusions line
#   below for the exact counts.
# Universe guards (the extraction raises, it never adapts): every MITTL_WERKTAG == 1
#   (average-weekday Tuesday-Thursday delivery), every negative E_ANZ_WEGE == -7
#   (so the universe filter drops exactly the away-from-home persons), and every
#   resolved Kreis inside ['03101', '03102', '03103', '03151', '03153', '03154', '03157', '03158'].
# Weight: GEWICHT_P_ZENSUS (person expansion to Zensus 2022 counts; the
#   stratum-internal GEWICHT_P must not be used across strata, ADR-0055).
# Kreis: first 5 digits of the zero-padded 8-digit household AGS, joined via HHNR (NOT
#   the survey design stratum ST_CODE, which does not correspond 1:1 to a Kreis).
#   Canonical code-to-name mapping: braunschweig.analysis.spatial.ZGB8 (03101
#   Braunschweig, 03102 Salzgitter, 03103 Wolfsburg, 03151 Gifhorn, 03153 Goslar,
#   03154 Helmstedt, 03157 Peine, 03158 Wolfenbuettel).
# Wolfsburg (03103) is NOT surveyed by SrV and therefore has NO row here (the
#   convention of srv2023_participation_by_kreis.csv); a target builder must fill it
#   from the 03ZGB row as a documented assumption.
# 03ZGB row scope: EXACTLY the union of the kreis rows above, so
#   sum(kreis n_unweighted) == 03ZGB n_unweighted holds by construction.
# Coverage caveat: stratified PSU design over ~44 selected municipalities; per-Kreis
#   rows represent the covered municipalities (ASSUMPTION-grade for the full Kreis).
# Age bands (V_ALTER, bounds INCLUSIVE; the 18plus upper bound 200 is a sentinel far
#   above any plausible age, not a real bound):
#   education_0_5 = ages 0-5.
#   education_6_17 = ages 6-17.
#   education_18plus = ages 18-200.
#   A person without a valid V_ALTER falls into NO band (n_missing_age below).
# Definition: p_education = weighted share of the band's persons with at least one leg
#   with E_ZWECK_9 in [3, 4] (Kita/Schule, Ausbildung/Studium) on the reporting day -- the
#   same purpose set as the existing srv2023_participation_by_kreis.csv, so the
#   universe and the age banding are the only definitional changes.
# Columns: code (5-digit ARS or 03ZGB), level ("kreis"/"total"), band, n_unweighted,
#   p_education. A band with no person in a Kreis is still emitted, with
#   n_unweighted=0 and a NaN share (never dropped), so a consumer never has to guess
#   whether a band is missing or empty.
# 03ZGB rows:
#   education_0_5: n_unweighted=1050, p_education=0.6785
#   education_6_17: n_unweighted=2020, p_education=0.9171
#   education_18plus: n_unweighted=14197, p_education=0.0476
# Rows: 21 kreis rows + 3 03ZGB rows = 24 total (one row per code x band).
# Invariants (checked before writing, the extraction raises on a violation): every
#   band is present; per band the kreis rows sum to the 03ZGB row's n_unweighted; every
#   share is NaN or inside [0, 1].
# Exclusions: n_persons_total=18223, missing_weight=0, away_from_home=954, missing_kreis=0, n_universe=17269, n_missing_age=2, n_unreadable_employment_code=11, n_legs_total=58148, n_legs_missing_purpose=27, n_band_education_0_5=1050, n_band_education_6_17=2020, n_band_education_18plus=14197 (n_persons_total is the raw Personen-file row count; missing_weight is measured on it, away_from_home on the persons surviving the weight filter, and missing_kreis on the persons surviving the away-from-home filter; n_universe is the resulting at-home-or-mobile person count; n_missing_age, n_unreadable_employment_code, n_below_min_age (work table only) and n_band_* (education table only) are measured on n_universe; n_age_14plus (work table only) is n_universe minus n_below_min_age; n_legs_total and n_legs_missing_purpose are raw Wege-file row counts)
code,level,band,n_unweighted,p_education
03101,kreis,education_0_5,288,0.6721587591
03101,kreis,education_6_17,541,0.9176893145
03101,kreis,education_18plus,3463,0.05950467509
03102,kreis,education_0_5,100,0.656329506
03102,kreis,education_6_17,206,0.906378256
03102,kreis,education_18plus,1426,0.04778371487
03151,kreis,education_0_5,229,0.6666298726
03151,kreis,education_6_17,374,0.8905030675
03151,kreis,education_18plus,2788,0.05306322307
03153,kreis,education_0_5,95,0.7581575152
03153,kreis,education_6_17,205,0.9015225485
03153,kreis,education_18plus,1826,0.0283505305
03154,kreis,education_0_5,75,0.6765029453
03154,kreis,education_6_17,210,0.925151333
03154,kreis,education_18plus,1370,0.02121530982
03157,kreis,education_0_5,149,0.6974456379
03157,kreis,education_6_17,293,0.9328428082
03157,kreis,education_18plus,1859,0.05129945722
03158,kreis,education_0_5,114,0.6492408071
03158,kreis,education_6_17,191,0.9610525735
03158,kreis,education_18plus,1465,0.03851727274
03ZGB,total,education_0_5,1050,0.6784849381
03ZGB,total,education_6_17,2020,0.9170553152
03ZGB,total,education_18plus,14197,0.0476473834
