# Source: SrV 2023 Braunschweig + Regionalverband Grossraum Braunschweig scientific-use
#   microdata (local-only, see srv2023_raw/README.md), generated by
#   scripts/extract_srv_primary_distance_targets.py on 2026-09-03.
# Table: srv2023_education_distance_by_kreis_level.csv
# Universe: persons with a home<->education trip (V_ZWECK 3,4,5,6)
# Observation unit: PERSON -- first home->purpose trip (V_START_LAGE == 1), else first
#   purpose->home trip (V_ZIEL_LAGE == 1); business trips (V_ZWECK 2) and 'andere
#   Bildungseinrichtung' (V_ZWECK 7) excluded. Reporting days are Tue-Thu only.
# Distance: GIS_LAENGE (routed km) where GIS_LAENGE_GUELTIG > 0; GIS-invalid trips fall
#   back to the other direction (R5); a negative weight or an over-cap distance on the
#   SELECTED trip excludes the person (R6, no fallback -- see the module docstring).
# Weight: GEWICHT_W_ZENSUS >= 0 (expansion to Zensus 2022; the stratum-internal
#   GEWICHT_W must not be used across strata; GEWICHT_W_WERKTAG is undefined here).
# Kreis: first 5 digits of the household AGS. Wolfsburg (03103) is NOT surveyed: its row
#   is the RegioStaR-7 type-72 pool (Braunschweig + Salzgitter), source = proxy_rs7_72
#   -- an ASSUMPTION recorded in the reference ADR. Per R11, the Wolfsburg proxy row
#   carries the RS7-72 pool's RAW shares/quantiles in BOTH the raw and the shrunk
#   columns (a pool is not shrunk further).
# Shrinkage: share_*_shrunk = n/(n+k) * Kreis + k/(n+k) * pool, pool = dominant RS7 type
#   (itself shrunk toward ZGB), k = 100 persons.
# Coverage caveat: stratified PSU design over ~44 selected municipalities; per-Kreis rows
#   represent the covered municipalities (ASSUMPTION-grade for the full Kreis).
# Noise floor: emd_noise_95_* is the 95th percentile of the bootstrap EMD
#   (n_bootstrap=500, seed=0), normalised to [0, 1] exactly like
#   braunschweig.calibration.metrics.emd_on_bands (same formula, re-implemented
#   locally to avoid a pipeline import).
# Bands (routed km): [0.0, 1.0, 2.0, 5.0, 10.0, 20.0, inf] -> labels ['0_1', '1_2', '2_5', '5_10', '10_20', '20_plus'].
# Levels follow the MODEL age banding (R4): Kita (V_ZWECK 3) counts only at age 0-6 and
# Grundschule (4) only at age 5-10 (model age band +/- 1 year); sekundar_1 = code 5 age
# 10-15; upper_secondary = code 5 or 6 age 16-19 (oberstufe + bbs pooled); university =
# code 6 age 20+. comparable=False rows (oberstufe, bbs) are the SrV-only split of
# upper_secondary and are descriptive only; (purpose, age) combinations the model cannot
# produce map to no level and are excluded (rate logged, see the script's run log).
# Cells with n_persons < 3 carry a degenerate emd_noise_95 of 0.0 (a single observation
#   resamples to itself); their shrunk shares collapse to the pool, so they do not steer
#   the Kreis targets.
# ASSUMPTION: GIS-invalid trips (~17% of candidate trips) are treated as missing at
#   random with respect to distance (bias check 2026-09-03: self-reported median 13 km
#   for GIS-invalid vs 12 km for GIS-valid work trips). The commute band 100_plus is 0.0
#   in every row: no GIS-valid home-based trip >= 100 km exists in this delivery, so
#   that band cannot be calibrated from SrV. A person whose selected direction AND the
#   other direction are both GIS-invalid drops out and is counted in n_excluded_gis_invalid.
# Exclusions: n_candidate_trips=5449, n_pool_weight_negative=0, n_pool_over_cap=0, n_excluded_gis_invalid=854, n_excluded_weight_negative=0, n_excluded_over_cap=0, n_excluded_no_kreis=0, n_missing_age=0, n_missing_regiostar7=0, n_missing_trip_ags=0, share_start_ags_equals_household_ags=1.0, n_persons_selected=2503 (units: n_candidate_trips, n_pool_weight_negative, n_pool_over_cap, n_excluded_gis_invalid are candidate TRIPS; n_excluded_weight_negative, n_excluded_over_cap, n_excluded_no_kreis, n_missing_* and n_persons_selected are PERSONS; share_start_ags_equals_household_ags is a share over persons with a known trip AGS)
level_geo,code,source,education_level,comparable,n_persons,mean_km,median_km,share_0_1,share_1_2,share_2_5,share_5_10,share_10_20,share_20_plus,share_shrunk_0_1,share_shrunk_1_2,share_shrunk_2_5,share_shrunk_5_10,share_shrunk_10_20,share_shrunk_20_plus,emd_noise_95
kreis,03101,srv,kindergarten,True,188,2.170835343,1.320732451,0.4034564607,0.2398002628,0.2465660944,0.097251987,0.01292519517,0,0.3994670129,0.2459510948,0.2476492404,0.09063478526,0.0160937655,0.0002041012233,0.03651678016
kreis,03102,srv,kindergarten,True,53,2.079674653,1.235731141,0.4046191896,0.3017093907,0.2218413913,0.0378277687,0.03400225971,0,0.3963496872,0.2728239452,0.240040191,0.06421121791,0.02619076822,0.0003841905381,0.06282420068
kreis,03103,proxy_rs7_72,kindergarten,True,241,2.143503559,1.294056007,0.4038050699,0.2583618481,0.2391531376,0.07943542687,0.01924451747,0,0.4038050699,0.2583618481,0.2391531376,0.07943542687,0.01924451747,0,0.03196553135
kreis,03151,srv,kindergarten,True,140,2.690459592,1.632700248,0.3264702676,0.2388892089,0.2886058397,0.102552805,0.04348187885,0,0.3270178786,0.2399248446,0.3073732192,0.0867201121,0.03863770247,0.0003262430492,0.0476695326
kreis,03153,srv,kindergarten,True,68,2.157039783,1.403790937,0.4325731573,0.266095123,0.2292088983,0.03830145777,0.03382136359,0,0.4106890585,0.2493413677,0.2521155206,0.05499527842,0.03194099209,0.0009177826439,0.05564216752
kreis,03154,srv,kindergarten,True,37,2.691445004,1.859304215,0.2105700538,0.3243875303,0.379302878,0.06458093129,0.02115860665,0,0.2961280686,0.2637942487,0.3459778214,0.06456152312,0.02896681752,0.0005715206701,0.06718404428
kreis,03157,srv,kindergarten,True,94,2.506563211,1.406108627,0.3269868454,0.2489924022,0.2989721952,0.09619336773,0.0288551896,0,0.3273980251,0.2450657693,0.3168460897,0.07988459163,0.03040192462,0.0004035996485,0.04679318194
kreis,03158,srv,kindergarten,True,67,3.133665294,1.945646264,0.2740562416,0.2398114544,0.3922290954,0.02989709781,0.04379503468,0.02021107614,0.3062288718,0.2407475502,0.357150326,0.0506499387,0.03664582562,0.008577487622,0.06712182178
rs7,72,srv,kindergarten,True,241,2.143503559,1.294056007,0.4038050699,0.2583618481,0.2391531376,0.07943542687,0.01924451747,0,0.3919668509,0.257514659,0.2496855548,0.07819444599,0.02205067773,0.0005878115232,0.03196553135
rs7,73,srv,kindergarten,True,156,2.524310607,1.779800355,0.3049305539,0.2323374276,0.3711981084,0.05772784212,0.03380606809,0,0.3277845341,0.2413747345,0.3336475505,0.06455434209,0.03185585554,0.0007829833181,0.03709843205
rs7,74,srv,kindergarten,True,181,3.186517382,1.481,0.3047550367,0.2882878365,0.2164350505,0.1320848764,0.04392587454,0.01451132538,0.3256382063,0.276609935,0.2373011108,0.1118424585,0.03854781384,0.01006047553,0.04526044724
rs7,75,srv,kindergarten,True,30,2.346234416,1.087976436,0.5037116317,0.1795350836,0.2431031693,0.03682505776,0.03682505776,0,0.3958078714,0.2379488141,0.2676920238,0.06634707645,0.03066233946,0.001541874842,0.08195866845
rs7,76,srv,kindergarten,True,15,1.40168894,1.414421352,0.3608536737,0.422502681,0.2166436453,0,0,0,0.3630998212,0.2772594221,0.2674480234,0.06539450614,0.02505523823,0.001742988952,0.08451817355
rs7,77,srv,kindergarten,True,24,2.724991374,1.288162901,0.3294125369,0.2860824759,0.2114190724,0.0985450769,0.07454083795,0,0.356851413,0.2613973609,0.2627494012,0.07972137138,0.03766397184,0.001616481689,0.1037578973
zgb,zgb,srv,kindergarten,True,647,2.40515622,1.399945153,0.3634367433,0.2554729332,0.2750686802,0.07520368206,0.02881352397,0.002004437294,0.3634367433,0.2554729332,0.2750686802,0.07520368206,0.02881352397,0.002004437294,0.0202454461
kreis,03101,srv,grundschule,True,143,1.427618434,0.8529388303,0.5613968413,0.2952023131,0.07817868906,0.05454931508,0.0106728415,0,0.5372353502,0.2852570972,0.1085647264,0.05887111182,0.009625194252,0.0004465201137,0.03690886446
