# Source: SrV 2023 Braunschweig + Regionalverband Grossraum Braunschweig scientific-use
#   microdata (local-only, see srv2023_raw/README.md; file SrV2023_Wege.csv), generated by
#   scripts/extract_srv_fine_purpose_reference.py on 2026-09-10.
# Code state: eqasim-bs f2574fe6 (the commit that introduced the extraction code), module
#   braunschweig/calibration/srv_fine_purpose.py. Header text was updated in the following
#   fix-round commit; the measured data rows are unchanged.
# Table: srv2023_fine_purpose_reference.csv
# Role: MEASUREMENT REFERENCE for the MiD W_ZWD subtype split of
#   braunschweig.popsim.purpose_subtype / shop_subtype (issue #242, sub-project C). NOT a
#   PopulationSim control target and NOT a validated calibration target: no synthesis,
#   location or distribution stage reads it, and nothing is re-estimated from it. Its only
#   consumer is scripts/compare_purpose_subtypes_srv.py.
# Universe: every delivered SrV trip whose V_ZWECK is a MEASURED fine code (shop: 8, 9; other_errand: 10, 11; leisure: 13, 14, 15, 16, 17, 18).
#   Trips of the other delivered purposes (work 1-2, education 3-7, escort 12, home 19,
#   'Sonstiges' 70, 'Unplausibel' -10) are out of scope and dropped; a V_ZWECK in neither
#   map makes the extraction RAISE, so a new purpose code cannot enter a silent bucket.
# Weights: GEWICHT_W_ZENSUS (trip expansion to Zensus 2022 counts). The stratum-internal
#   GEWICHT_W must not be used across strata (ADR-0055). share_within_coarse is WEIGHTED;
#   n_unweighted is the plain row count -- the two columns answer different questions.
# Value labels: SrV 2023 codebook SrV2023_Datenkodierung_SciUse.xlsx, sheet 'Tabelle1', variable V_ZWECK ('Ziel/Zweck'),
#   value labels in column F, cells F8236-F8256 (the code numbers are the matching E cells);
#   German umlauts transliterated (ae/oe/ue/ss) to keep the module ASCII.
# Universe guards (the extraction raises, it never adapts): every MITTL_WERKTAG == 1
#   (average-weekday Tuesday-Thursday delivery) and every trip a positive GEWICHT_W_ZENSUS.
# Coverage: GIS length valid (> 0 km) for 14639/19106 measured trips (76.62%); duration valid for
#   19028/19106 (99.59%). GIS_LAENGE_GUELTIG == -7.0 is the codebook's 'Berechnung nicht moeglich'
#   code and E_DAUER in [-10, -7] are 'Unplausibel'/'Berechnung nicht moeglich'; such a trip is
#   EXCLUDED from the percentiles but KEPT in n_unweighted and in share_within_coarse --
#   only its distance/duration is unknown, not the trip.
# Exclusions: n_trips_raw=58148, n_trips_out_of_scope=39042, n_trips_measured=19106, n_trips_gis_invalid=4467, n_trips_duration_invalid=78 (n_trips_raw is the raw Wege-file row count; n_trips_out_of_scope is measured on it; n_trips_measured is the resulting count of trips with a measured fine V_ZWECK; n_trips_gis_invalid and n_trips_duration_invalid are measured on n_trips_measured)
# Columns: coarse (shop, other_errand, leisure), fine_code (V_ZWECK), label (codebook), n_unweighted,
#   share_within_coarse (GEWICHT_W_ZENSUS-weighted share of the coarse purpose's trips;
#   the shares of one coarse purpose sum to 1), gis_km_p25/p50/p75 (weighted percentiles
#   of GIS_LAENGE_GUELTIG in km, Hazen midpoint-CDF convention -- the same
#   srv_distance_targets.weighted_quantiles the MiD side uses, so the two are comparable),
#   duration_min_p50 (weighted median E_DAUER in minutes). A fine code with no trip is
#   still emitted (n_unweighted=0), never dropped.
#   shop 8 (Einkauf taeglicher Bedarf): n=4541, share=0.7144, gis_km_p50=1.618
#   shop 9 (Sonstiger Einkauf): n=1789, share=0.2856, gis_km_p50=2.696
#   other_errand 10 (Behoerdengang, Arztbesuch): n=1873, share=0.5583, gis_km_p50=3.715
#   other_errand 11 (Dienstleistungseinrichtung (z. B. Post, Bank, Friseur, Apotheke)): n=1451, share=0.4417, gis_km_p50=2.292
#   leisure 13 (Kultur, Theater, Kino): n=216, share=0.0262, gis_km_p50=4.140
#   leisure 14 (Gaststaette/Kneipe): n=924, share=0.1073, gis_km_p50=1.998
#   leisure 15 (Privater Besuch (fremde Wohnung)): n=1912, share=0.2150, gis_km_p50=3.302
#   leisure 16 (Erholung/Sport im Freien (auch Wandern, Hund ausfuehren o. ae.)): n=3073, share=0.3000, gis_km_p50=1.385
#   leisure 17 (Sportstaette (allgemein)): n=1627, share=0.1719, gis_km_p50=3.226
#   leisure 18 (Andere Freizeitaktivitaet): n=1700, share=0.1796, gis_km_p50=2.956
# Rows: 10 fine purpose codes.
# Invariants (checked before writing, the extraction raises on a violation): exactly the
#   fine codes [8, 9, 10, 11, 13, 14, 15, 16, 17, 18] are present, in coarse-purpose then code order; every share is NaN or
#   inside [0, 1] and the shares of each coarse purpose sum to 1; every percentile is NaN
#   or positive; p25 <= p50 <= p75.
coarse,fine_code,label,n_unweighted,share_within_coarse,gis_km_p25,gis_km_p50,gis_km_p75,duration_min_p50
shop,8,Einkauf taeglicher Bedarf,4541,0.7144443301,0.6930189632,1.6178749,3.630512945,10
shop,9,Sonstiger Einkauf,1789,0.2855556699,0.9647692011,2.696477326,5.934731335,13
other_errand,10,"Behoerdengang, Arztbesuch",1873,0.5583395633,1.575980947,3.714532035,9.670915024,15
other_errand,11,"Dienstleistungseinrichtung (z. B. Post, Bank, Friseur, Apotheke)",1451,0.4416604367,0.6827448875,2.292117116,4.858112534,10
leisure,13,"Kultur, Theater, Kino",216,0.02619051947,1.34819155,4.140352661,8.084061716,20
leisure,14,Gaststaette/Kneipe,924,0.1072847177,0.6148239927,1.997556187,5.709114867,15
leisure,15,Privater Besuch (fremde Wohnung),1912,0.2150146056,0.974700868,3.302033563,7.989909687,15
leisure,16,"Erholung/Sport im Freien (auch Wandern, Hund ausfuehren o. ae.)",3073,0.3000136135,0.663,1.385283008,2.940779425,25
leisure,17,Sportstaette (allgemein),1627,0.1719293826,1.566820687,3.225707943,6.187255967,12
leisure,18,Andere Freizeitaktivitaet,1700,0.1795671611,0.9893404658,2.95581787,7.414065784,15
