# Source: SrV 2023 Braunschweig + Regionalverband Grossraum Braunschweig
#   (RGB) scientific-use microdata, file SciUse_v4 (delivered 2026-07).
#   See eqasim-data/data/braunschweig/srv/srv2023_raw/README.md.
# Universe: households with a valid GEWICHT_HH_ZENSUS weight; the 5 income-class shares are computed over respondents with a valid E_EINK_5 code only (n_unweighted/n_weighted refer to this valid subset)
# Weight used: GEWICHT_HH_ZENSUS
# Missing-code handling: E_EINK_5 in {-9 Keine Angabe, -5 Weiss nicht} excluded from the income-class shares and reported separately as share_income_missing (fraction of ALL weighted households in the group, valid + missing)
# Coverage: 7 of the 8 ZGB Kreise; Wolfsburg (03103) is NOT covered by
#   this survey and therefore never appears in this table.
# ASSUMPTION (coverage, not weighting): the survey is a stratified PSU
#   design over ~44 selected municipalities within those Kreise (strata =
#   ST_CODE/ST_CODE_NAME; see srv2023_covered_municipalities.csv). The
#   GEWICHT_*_ZENSUS weight expands per municipality to the true Zensus
#   2022 population, so it is the correct weight for total/kreis/stratum
#   rows alike. Per-Kreis (level=kreis) rows still extrapolate from the
#   sampled municipalities to the full Kreis and are therefore an
#   ASSUMPTION-grade coverage estimate; per-stratum (level=stratum) rows
#   are the design-safe aggregation level for this survey.
# Generated by: scripts/extract_srv_kreis_tables.py
level,code,name,n_unweighted,n_weighted,income_lt_1500,income_1500_2600,income_2600_3600,income_3600_5600,income_ge_5600,share_income_missing
total,total,Gesamt,7044,353559.82,0.1129,0.2706,0.2248,0.2433,0.1484,0.1246
kreis,03101,Braunschweig,1862,131614.76,0.1163,0.2677,0.2433,0.2164,0.1563,0.1014
kreis,03102,Salzgitter,667,43129.77,0.1199,0.3215,0.2509,0.2118,0.0959,0.155
kreis,03151,Gifhorn,1320,44778.82,0.0971,0.2185,0.2067,0.2753,0.2025,0.1239
kreis,03153,Goslar,933,41957.78,0.1459,0.3155,0.1898,0.2389,0.11,0.1216
kreis,03154,Helmstedt,672,22911.41,0.111,0.2423,0.2245,0.2584,0.1639,0.152
kreis,03157,Peine,854,40302.69,0.0928,0.257,0.2075,0.3041,0.1387,0.1417
kreis,03158,Wolfenbuettel,736,28864.59,0.0931,0.2646,0.2051,0.2728,0.1644,0.1386
stratum,98,"Kleinstädtischer, dörflicher Raum RGB ohne Schienenanbindung",1285,23066.6,0.0548,0.2394,0.1962,0.2758,0.2338,0.1469
stratum,99,Mittelstadt RGB,957,61249.51,0.124,0.2578,0.1999,0.2725,0.1457,0.1383
stratum,100,Regiopole Salzgitter,667,43129.77,0.1199,0.3215,0.2509,0.2118,0.0959,0.155
stratum,101,Städtischer Raum RGB mit Schienenanbindung,484,29297.46,0.0957,0.2695,0.2079,0.2731,0.1538,0.1203
stratum,102,Städtischer Raum RGB ohne Schienenanbindung,366,19900.24,0.1041,0.2443,0.2309,0.304,0.1166,0.1567
stratum,103,Zentrale Stadt Goslar,370,19484.68,0.157,0.3171,0.1916,0.2237,0.1107,0.1409
stratum,173,Braunschweig,1862,131614.76,0.1163,0.2677,0.2433,0.2164,0.1563,0.1014
stratum,197,"Kleinstädtischer, dörflicher Raum RGB mit Schienenanbindung",1053,25816.8,0.1025,0.2448,0.2111,0.2686,0.1729,0.0993
