# Source: SrV 2023 Braunschweig+RGB SciUse (TU Dresden), Wege table, V_ZWECK in leisure/other category map, GEWICHT_W-weighted.
# Generated by scripts/derive_srv_location_types.py; n_in_scope=13514; exclusion rates are counted against n_in_scope: excluded_invalid_mode=4/13514 (0.03%), excluded_invalid_length=3547/13514 (26.25%); thin_cells_omitted=17, cells_reported=50, min_obs=30.
# ASSUMPTION: euclid_km = GIS_LAENGE_GUELTIG / DETOUR_FACTOR (DETOUR_FACTOR=1.3), same routed->euclidean assumption as the MiD distance layers.
# Band edges (euclidean km): [0.0, 0.5, 1.0, 1.5, 2.5, 4.0, 8.0, inf].
# Marginal rows (is_marginal=1, mode="all", band [0, inf)) are the per-purpose fallback used whenever a (mode, band) cell is thinner than min_obs=30 unweighted legs; cell rows (is_marginal=0) are reported only where the cell meets that threshold.
# Regenerate there, never edit.
purpose,mode,band_lower_km,band_upper_km,is_marginal,category,probability,n_legs_unweighted
leisure,all,0.0,inf,1,leisure_culture,0.02372483245310786,216
leisure,all,0.0,inf,1,leisure_gastronomy,0.09987529465880998,924
leisure,all,0.0,inf,1,leisure_misc,0.17703601410988484,1700
leisure,all,0.0,inf,1,leisure_outdoor,0.3122685927186319,3073
leisure,all,0.0,inf,1,leisure_sports,0.17272533037779872,1627
leisure,all,0.0,inf,1,leisure_visit,0.21436993568176685,1912
other,all,0.0,inf,1,errand_authority_medical,0.44810813918430703,1873
other,all,0.0,inf,1,errand_service,0.3571219432865205,1451
other,all,0.0,inf,1,other_misc,0.19476991752917228,738
leisure,bicycle,0.0,0.5,0,leisure_gastronomy,0.04453910366053553,6
leisure,bicycle,0.0,0.5,0,leisure_misc,0.3293044380124338,38
leisure,bicycle,0.0,0.5,0,leisure_outdoor,0.1502236469167329,13
leisure,bicycle,0.0,0.5,0,leisure_sports,0.28979833985643216,27
leisure,bicycle,0.0,0.5,0,leisure_visit,0.18613447155386562,29
leisure,bicycle,0.5,1.0,0,leisure_culture,0.04253932133015179,4
leisure,bicycle,0.5,1.0,0,leisure_gastronomy,0.06896798014315447,11
leisure,bicycle,0.5,1.0,0,leisure_misc,0.2256555682750124,51
leisure,bicycle,0.5,1.0,0,leisure_outdoor,0.07669957652609956,18
leisure,bicycle,0.5,1.0,0,leisure_sports,0.355320675872113,81
leisure,bicycle,0.5,1.0,0,leisure_visit,0.23081687785346872,45
leisure,bicycle,1.0,1.5,0,leisure_culture,0.044652061487435314,7
leisure,bicycle,1.0,1.5,0,leisure_gastronomy,0.04175895982020001,9
leisure,bicycle,1.0,1.5,0,leisure_misc,0.2912566497376527,46
leisure,bicycle,1.0,1.5,0,leisure_outdoor,0.13291373946022492,26
leisure,bicycle,1.0,1.5,0,leisure_sports,0.36226635509360444,74
leisure,bicycle,1.0,1.5,0,leisure_visit,0.12715223440088264,25
leisure,bicycle,1.5,2.5,0,leisure_culture,0.035015710223879316,12
leisure,bicycle,1.5,2.5,0,leisure_gastronomy,0.11260501929241513,35
