# Source: SrV 2023 Braunschweig+RGB SciUse (TU Dresden), Wege table, V_ZWECK in leisure/other/shop category map, GEWICHT_W-weighted.
# weight_share = category weight / purpose weight (sums to 1.0 within each purpose); weighted_median_*_km = cumulative-weight median (see weighted_median in this script).
# COLUMN-UNIVERSE ASYMMETRY (read this before using the table): weight_share and n_legs_unweighted are computed over EVERY in-scope leg for the category (its V_ZWECK code alone decides inclusion); weighted_median_gis_km and weighted_median_euclid_km are computed only over the subset of that same category with a valid GIS length (GIS_LAENGE_GUELTIG > 0) -- narrowing the share itself to that subset would silently bias the category mix towards better-reported categories, so the two column groups intentionally use different denominators; per-category length-validity coverage is logged by the generating script (see console log), not persisted in this file.
# ASSUMPTION: weighted_median_euclid_km uses GIS_LAENGE_GUELTIG / DETOUR_FACTOR (DETOUR_FACTOR=1.3).
# shop_daily/shop_non_daily (V_ZWECK 8/9) are VALIDATION-ONLY reference rows (issue #242 contribution); shop location choice is modelled elsewhere in the pipeline.
# Generated by scripts/derive_srv_location_types.py; regenerate there, never edit.
purpose,category,srv_v_zweck_codes,weight_share,n_legs_unweighted,weighted_median_gis_km,weighted_median_euclid_km
leisure,leisure_culture,13,0.02372483245310786,216,3.917,3.0130769230769228
leisure,leisure_gastronomy,14,0.09987529465880998,924,2.143,1.6484615384615382
leisure,leisure_misc,18,0.17703601410988484,1700,3.163,2.4330769230769227
leisure,leisure_outdoor,16,0.3122685927186319,3073,1.328,1.0215384615384615
leisure,leisure_sports,17,0.17272533037779872,1627,3.413,2.625384615384615
leisure,leisure_visit,15,0.21436993568176685,1912,3.457,2.659230769230769
other,errand_authority_medical,10,0.44810813918430703,1873,4.62,3.5538461538461537
other,errand_service,11,0.3571219432865205,1451,2.461,1.8930769230769229
other,other_misc,70,0.19476991752917228,738,2.755,2.1192307692307693
shop,shop_daily,8,0.7167031255420001,4541,1.711,1.3161538461538462
shop,shop_non_daily,9,0.28329687445799995,1789,3.048,2.3446153846153845
