# Source: SrV 2023 Braunschweig + Regionalverband Grossraum Braunschweig
#   (RGB) scientific-use microdata, file SciUse_v4 (delivered 2026-07).
#   See eqasim-data/data/braunschweig/srv/srv2023_raw/README.md.
# Universe: persons aged >= 14 (V_ALTER) with a valid GEWICHT_P_ZENSUS weight and E_OEV_FK != -10 (Unplausibel); the 14+ restriction makes this table universe-compatible with MiD P24.1 ('ab 14 Jahre'). E_OEV_FK == -8 'nicht erhoben' (no PT use in the past 12 months) is KEPT and counted as not_flatrate -- an ASSUMPTION that carries roughly a third of the sample. Code 60 (Freifahrtberechtigung) is counted as not_flatrate because MiD P24.1 has no pendant and this table is meant to be BLENDED with MiD (effect of that choice: +0.78pp on the regional flatrate share)
# Weight used: GEWICHT_P_ZENSUS
# Missing-code handling: only E_OEV_FK == -10 (Unplausibel) excluded
# Coverage: 7 of the 8 ZGB Kreise; Wolfsburg (03103) is NOT covered by
#   this survey and therefore never appears in this table.
# ASSUMPTION (coverage, not weighting): the survey is a stratified PSU
#   design over ~44 selected municipalities within those Kreise (strata =
#   ST_CODE/ST_CODE_NAME; see srv2023_covered_municipalities.csv). The
#   GEWICHT_*_ZENSUS weight expands per municipality to the true Zensus
#   2022 population, so it is the correct weight for total/kreis/stratum
#   rows alike. Per-Kreis (level=kreis) rows still extrapolate from the
#   sampled municipalities to the full Kreis and are therefore an
#   ASSUMPTION-grade coverage estimate; per-stratum (level=stratum) rows
#   are the design-safe aggregation level for this survey.
# Generated by: scripts/extract_srv_kreis_tables.py
level,code,name,n_unweighted,n_weighted,deutschlandticket,other_flatrate,not_flatrate
total,total,Gesamt,15746,688010.23,0.0693,0.1045,0.8263
kreis,03101,Braunschweig,3844,223111.43,0.099,0.1575,0.7435
kreis,03102,Salzgitter,1554,89154.83,0.0376,0.0934,0.8691
kreis,03151,Gifhorn,3088,92341.2,0.0465,0.0618,0.8916
kreis,03153,Goslar,2014,85839.7,0.0486,0.0597,0.8918
kreis,03154,Helmstedt,1553,49977.23,0.0519,0.0772,0.8709
kreis,03157,Peine,2071,89235.09,0.0842,0.0842,0.8316
kreis,03158,Wolfenbuettel,1622,58350.75,0.0624,0.1064,0.8313
stratum,98,"Kleinstädtischer, dörflicher Raum RGB ohne Schienenanbindung",2974,50307.41,0.0413,0.0615,0.8973
stratum,99,Mittelstadt RGB,2245,124076.27,0.0654,0.0866,0.848
stratum,100,Regiopole Salzgitter,1554,89154.83,0.0376,0.0934,0.8691
stratum,101,Städtischer Raum RGB mit Schienenanbindung,1129,61547.0,0.0697,0.0629,0.8674
stratum,102,Städtischer Raum RGB ohne Schienenanbindung,860,44762.46,0.062,0.0793,0.8588
stratum,103,Zentrale Stadt Goslar,809,42259.11,0.0393,0.0694,0.8914
stratum,173,Braunschweig,3844,223111.43,0.099,0.1575,0.7435
stratum,197,"Kleinstädtischer, dörflicher Raum RGB mit Schienenanbindung",2331,52791.72,0.0626,0.08,0.8574
