# Source: SrV 2023 Braunschweig+RGB scientific-use microdata (local-only, see
#   srv2023_raw/README.md), generated by scripts/extract_srv_trip_classes_kreis.py.
# Universe: ALL persons of the delivery = mittlerer-Werktag reporting days
#   (verified: STICHTAG_WTAG only Tue-Thu; GEWICHT_P_WERKTAG undefined (-6)
#   throughout, hence weight = GEWICHT_P_ZENSUS >= 0).
# Weight: GEWICHT_P_ZENSUS ("fuer stadtuebergreifende Auswertungen", full
#   expansion to Zensus 2022 counts per municipality; the stratum-internal
#   standard weight GEWICHT_P is mean ~1 per ST_CODE stratum and biases any
#   cross-stratum aggregate, so it is not used here -- fixed 2026-07-08).
# Classes from E_ANZ_WEGE: 0 / 1-2 / 3-4 / 5+ trips on the reporting day;
#   E_ANZ_WEGE = -7 (not computable, incl. persons away from home) excluded
#   from shares, reported as share_trips_invalid.
# CAVEAT: NOT directly comparable to MiD trip rates (MiD: all days + immobile
#   adjustment); SrV-only candidate target until a workday-matched MiD P39
#   extraction exists.
# ASSUMPTION (coverage, not weighting): per-Kreis rows extrapolate a
#   stratified selected-municipality sample to the full Kreis; the ZENSUS
#   weight already expands per municipality, so per-stratum (ST_CODE) rows
#   remain the design-safe aggregation level, not a weighting workaround.
level,code,name,n_unweighted,n_weighted,trips_0,trips_1_2,trips_3_4,trips_5plus,share_trips_invalid
total,total,Gesamt,17269,748071.99,0.1121,0.3368,0.3223,0.2287,0.0498
kreis,03101,Braunschweig,4292,239594.48,0.0997,0.3144,0.3358,0.2502,0.0523
kreis,03102,Salzgitter,1732,100880.61,0.1199,0.3687,0.3242,0.1871,0.032
kreis,03151,Gifhorn,3391,101930.25,0.122,0.3515,0.3128,0.2138,0.048
kreis,03153,Goslar,2126,90720.01,0.1211,0.3491,0.2961,0.2338,0.053
kreis,03154,Helmstedt,1655,53201.88,0.1146,0.3314,0.33,0.224,0.0487
kreis,03157,Peine,2301,97480.23,0.1224,0.3452,0.2989,0.2335,0.0642
kreis,03158,Wolfenbuettel,1772,64264.52,0.1001,0.3218,0.3509,0.2273,0.0445
stratum,100,Regiopole Salzgitter,1732,100880.61,0.1199,0.3687,0.3242,0.1871,0.032
stratum,101,Städtischer Raum RGB mit Schienenanbindung,1232,66562.41,0.1157,0.3471,0.3022,0.2351,0.0539
stratum,102,Städtischer Raum RGB ohne Schienenanbindung,918,46727.53,0.1191,0.3635,0.306,0.2115,0.0745
stratum,103,Zentrale Stadt Goslar,855,45250.19,0.132,0.3094,0.3213,0.2373,0.046
stratum,173,Braunschweig,4292,239594.48,0.0997,0.3144,0.3358,0.2502,0.0523
stratum,197,"Kleinstädtischer, dörflicher Raum RGB mit Schienenanbindung",2558,58557.02,0.1138,0.3408,0.2995,0.2459,0.0446
stratum,98,"Kleinstädtischer, dörflicher Raum RGB ohne Schienenanbindung",3174,54373.96,0.1179,0.3747,0.3023,0.205,0.0397
stratum,99,Mittelstadt RGB,2508,136125.79,0.1143,0.3309,0.331,0.2238,0.0549
